Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:l	Frec:3.0	LogProb:-10.406797504260457
Palabra:m	Frec:10.0	LogProb:-9.395196592581977
Palabra:neighbor	Frec:5.0	LogProb:-10.001332396152291
Palabra:n	Frec:30.0	LogProb:-8.3591046608952
Palabra:dHS	Frec:1.0	LogProb:-11.099944684820402
Palabra:o	Frec:13.0	LogProb:-9.154034535765089
Palabra:BET	Frec:1.0	LogProb:-11.099944684820402
Palabra:p	Frec:3.0	LogProb:-10.406797504260457
Palabra:q	Frec:3.0	LogProb:-10.406797504260457
Palabra:yeahh;	Frec:1.0	LogProb:-11.099944684820402
Palabra:r	Frec:73.0	LogProb:-7.489026772176177
Palabra:yeahh:	Frec:1.0	LogProb:-11.099944684820402
Palabra:carona	Frec:1.0	LogProb:-11.099944684820402
Palabra:s	Frec:3.0	LogProb:-10.406797504260457
Palabra:NECC	Frec:1.0	LogProb:-11.099944684820402
Palabra:t	Frec:11.0	LogProb:-9.308185215592346
Palabra:u	Frec:337.0	LogProb:-5.970045969897328
Palabra:readers	Frec:3.0	LogProb:-10.406797504260457
Palabra:v	Frec:4.0	LogProb:-10.183653952946246
Palabra:w	Frec:9.0	LogProb:-9.4905067723863
Palabra:sunset	Frec:1.0	LogProb:-11.099944684820402
Palabra:idkdown	Frec:1.0	LogProb:-11.099944684820402
Palabra:x	Frec:3.0	LogProb:-10.406797504260457
Palabra:y	Frec:12.0	LogProb:-9.22814250791881
Palabra:z	Frec:3.0	LogProb:-10.406797504260457
Palabra:information	Frec:1.0	LogProb:-11.099944684820402
Palabra:|	Frec:1.0	LogProb:-11.099944684820402
Palabra:cunterthere	Frec:1.0	LogProb:-11.099944684820402
Palabra:~	Frec:1.0	LogProb:-11.099944684820402
Palabra:coolits	Frec:1.0	LogProb:-11.099944684820402
Palabra:Add	Frec:1.0	LogProb:-11.099944684820402
Palabra:BFG	Frec:2.0	LogProb:-10.694479576712236
Palabra:BFF	Frec:1.0	LogProb:-11.099944684820402
Palabra:rong	Frec:1.0	LogProb:-11.099944684820402
Palabra:ratatouille	Frec:1.0	LogProb:-11.099944684820402
Palabra:good	Frec:263.0	LogProb:-6.2171427622340305
Palabra:awwhhh	Frec:1.0	LogProb:-11.099944684820402
Palabra:empty	Frec:2.0	LogProb:-10.694479576712236
Palabra:analytics	Frec:1.0	LogProb:-11.099944684820402
Palabra:reproduce	Frec:1.0	LogProb:-11.099944684820402
Palabra:pigs	Frec:2.0	LogProb:-10.694479576712236
Palabra:skeleton	Frec:1.0	LogProb:-11.099944684820402
Palabra:fiance	Frec:1.0	LogProb:-11.099944684820402
Palabra:off;	Frec:1.0	LogProb:-11.099944684820402
Palabra:besides	Frec:6.0	LogProb:-9.847181716325034
Palabra:gonn	Frec:1.0	LogProb:-11.099944684820402
Palabra:serious	Frec:19.0	LogProb:-8.797359591826355
Palabra:OHIO	Frec:1.0	LogProb:-11.099944684820402
Palabra:romy	Frec:1.0	LogProb:-11.099944684820402
Palabra:cha	Frec:1.0	LogProb:-11.099944684820402
Palabra:Grandparents	Frec:1.0	LogProb:-11.099944684820402
Palabra:gomy	Frec:1.0	LogProb:-11.099944684820402
Palabra:generallyt	Frec:1.0	LogProb:-11.099944684820402
Palabra:gona	Frec:3.0	LogProb:-10.406797504260457
Palabra:remeber	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ello	Frec:1.0	LogProb:-11.099944684820402
Palabra:eatin'	Frec:1.0	LogProb:-11.099944684820402
Palabra:*fvrd	Frec:1.0	LogProb:-11.099944684820402
Palabra:gone	Frec:18.0	LogProb:-8.848652886213905
Palabra:Foot	Frec:1.0	LogProb:-11.099944684820402
Palabra:walked	Frec:3.0	LogProb:-10.406797504260457
Palabra:2give	Frec:1.0	LogProb:-11.099944684820402
Palabra:NEED	Frec:3.0	LogProb:-10.406797504260457
Palabra:stupidand	Frec:1.0	LogProb:-11.099944684820402
Palabra:100s	Frec:1.0	LogProb:-11.099944684820402
Palabra:raging	Frec:1.0	LogProb:-11.099944684820402
Palabra:Yatty	Frec:1.0	LogProb:-11.099944684820402
Palabra:Fort	Frec:1.0	LogProb:-11.099944684820402
Palabra:youshould	Frec:1.0	LogProb:-11.099944684820402
Palabra:trippin'	Frec:1.0	LogProb:-11.099944684820402
Palabra:werewolves	Frec:1.0	LogProb:-11.099944684820402
Palabra:srry	Frec:4.0	LogProb:-10.183653952946246
Palabra:offs	Frec:1.0	LogProb:-11.099944684820402
Palabra:scaryim	Frec:1.0	LogProb:-11.099944684820402
Palabra:101s	Frec:1.0	LogProb:-11.099944684820402
Palabra:root	Frec:2.0	LogProb:-10.694479576712236
Palabra:Age	Frec:1.0	LogProb:-11.099944684820402
Palabra:pretttyyy	Frec:1.0	LogProb:-11.099944684820402
Palabra:roof	Frec:1.0	LogProb:-11.099944684820402
Palabra:BIG	Frec:4.0	LogProb:-10.183653952946246
Palabra:offf	Frec:2.0	LogProb:-10.694479576712236
Palabra:umbrella	Frec:1.0	LogProb:-11.099944684820402
Palabra:yeahhhhhhhhhhhhhhhhh	Frec:1.0	LogProb:-11.099944684820402
Palabra:offa	Frec:1.0	LogProb:-11.099944684820402
Palabra:tupac	Frec:1.0	LogProb:-11.099944684820402
Palabra:multiple	Frec:1.0	LogProb:-11.099944684820402
Palabra:microbiology	Frec:1.0	LogProb:-11.099944684820402
Palabra:f***	Frec:1.0	LogProb:-11.099944684820402
Palabra:goonies	Frec:1.0	LogProb:-11.099944684820402
Palabra:Sandals	Frec:1.0	LogProb:-11.099944684820402
Palabra:mrlydian	Frec:1.0	LogProb:-11.099944684820402
Palabra:room	Frec:21.0	LogProb:-8.702049412022031
Palabra:better	Frec:106.0	LogProb:-7.120263030918441
Palabra:Folie	Frec:1.0	LogProb:-11.099944684820402
Palabra:USA;]	Frec:1.0	LogProb:-11.099944684820402
Palabra:bball	Frec:1.0	LogProb:-11.099944684820402
Palabra:bongay	Frec:1.0	LogProb:-11.099944684820402
Palabra:allegations	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ford	Frec:1.0	LogProb:-11.099944684820402
Palabra:cancer	Frec:10.0	LogProb:-9.395196592581977
Palabra:Aha	Frec:1.0	LogProb:-11.099944684820402
Palabra:creepy	Frec:11.0	LogProb:-9.308185215592346
Palabra:taking	Frec:15.0	LogProb:-9.020503143140566
Palabra:Ahh	Frec:2.0	LogProb:-10.694479576712236
Palabra:terrifying	Frec:3.0	LogProb:-10.406797504260457
Palabra:SOMEONE	Frec:1.0	LogProb:-11.099944684820402
Palabra:unlistened	Frec:1.0	LogProb:-11.099944684820402
Palabra:becase	Frec:1.0	LogProb:-11.099944684820402
Palabra:complimented	Frec:2.0	LogProb:-10.694479576712236
Palabra:loveee	Frec:1.0	LogProb:-11.099944684820402
Palabra:gosh	Frec:8.0	LogProb:-9.595867288044127
Palabra:tripping	Frec:2.0	LogProb:-10.694479576712236
Palabra:honest:	Frec:1.0	LogProb:-11.099944684820402
Palabra:Aid	Frec:2.0	LogProb:-10.694479576712236
Palabra:order	Frec:8.0	LogProb:-9.595867288044127
Palabra:reminds	Frec:7.0	LogProb:-9.713650323700511
Palabra:Knocked	Frec:1.0	LogProb:-11.099944684820402
Palabra:misspell	Frec:1.0	LogProb:-11.099944684820402
Palabra:Havent	Frec:1.0	LogProb:-11.099944684820402
Palabra:rememeber	Frec:1.0	LogProb:-11.099944684820402
Palabra:pikk	Frec:1.0	LogProb:-11.099944684820402
Palabra:Sayonara	Frec:1.0	LogProb:-11.099944684820402
Palabra:phobia	Frec:2.0	LogProb:-10.694479576712236
Palabra:Dina	Frec:2.0	LogProb:-10.694479576712236
Palabra:ensue	Frec:1.0	LogProb:-11.099944684820402
Palabra:filipinohaha	Frec:1.0	LogProb:-11.099944684820402
Palabra:goodlol	Frec:1.0	LogProb:-11.099944684820402
Palabra:coach	Frec:1.0	LogProb:-11.099944684820402
Palabra:women	Frec:9.0	LogProb:-9.4905067723863
Palabra:pink	Frec:5.0	LogProb:-10.001332396152291
