Numero de documentos del corpus :6747
N�mero de palabras del corpus:97247
Palabra:m	Frec:5.0	LogProb:-10.093350049281677
Palabra:n	Frec:45.0	LogProb:-8.056468122020636
Palabra:FGHSDJ	Frec:3.0	LogProb:-10.49881515738984
Palabra:prettier	Frec:1.0	LogProb:-11.191962337949786
Palabra:the	Frec:1898.0	LogProb:-4.336026807697445
Palabra:Red	Frec:5.0	LogProb:-10.093350049281677
Palabra:sucks;{	Frec:3.0	LogProb:-10.49881515738984
Palabra:straight	Frec:35.0	LogProb:-8.30159058005362
Palabra:BET	Frec:3.0	LogProb:-10.49881515738984
Palabra:r	Frec:84.0	LogProb:-7.442458262019414
Palabra:yuletide	Frec:3.0	LogProb:-10.49881515738984
Palabra:s	Frec:5.0	LogProb:-10.093350049281677
Palabra:t	Frec:3.0	LogProb:-10.49881515738984
Palabra:u	Frec:357.0	LogProb:-6.004576532109031
Palabra:readers	Frec:2.0	LogProb:-10.786497229841622
Palabra:corny	Frec:2.0	LogProb:-10.786497229841622
Palabra:w	Frec:10.0	LogProb:-9.48721424571136
Palabra:x	Frec:5.0	LogProb:-10.093350049281677
Palabra:y	Frec:7.0	LogProb:-9.805667976829895
Palabra:tho	Frec:11.0	LogProb:-9.400202868721731
Palabra:information	Frec:1.0	LogProb:-11.191962337949786
Palabra:plasma	Frec:3.0	LogProb:-10.49881515738984
Palabra:ths	Frec:3.0	LogProb:-10.49881515738984
Palabra:~	Frec:9.0	LogProb:-9.582524425515684
Palabra:cologne.	Frec:2.0	LogProb:-10.786497229841622
Palabra:BFE	Frec:2.0	LogProb:-10.786497229841622
Palabra:tht	Frec:16.0	LogProb:-9.051896174453514
Palabra:tellin'	Frec:3.0	LogProb:-10.49881515738984
Palabra:Excited	Frec:2.0	LogProb:-10.786497229841622
Palabra:powered	Frec:6.0	LogProb:-9.939199369454418
Palabra:thy	Frec:2.0	LogProb:-10.786497229841622
Palabra:thx	Frec:9.0	LogProb:-9.582524425515684
Palabra:McMahon	Frec:3.0	LogProb:-10.49881515738984
Palabra:good	Frec:114.0	LogProb:-7.140177390146481
Palabra:whatsoever...People	Frec:2.0	LogProb:-10.786497229841622
Palabra:allston	Frec:3.0	LogProb:-10.49881515738984
Palabra:DYKE	Frec:3.0	LogProb:-10.49881515738984
Palabra:goof	Frec:3.0	LogProb:-10.49881515738984
Palabra:empty	Frec:2.0	LogProb:-10.786497229841622
Palabra:how's	Frec:3.0	LogProb:-10.49881515738984
Palabra:SHE	Frec:1.0	LogProb:-11.191962337949786
Palabra:cgy	Frec:2.0	LogProb:-10.786497229841622
Palabra:suffered	Frec:3.0	LogProb:-10.49881515738984
Palabra:til	Frec:11.0	LogProb:-9.400202868721731
Palabra:ellisboro	Frec:1.0	LogProb:-11.191962337949786
Palabra:serious	Frec:11.0	LogProb:-9.400202868721731
Palabra:song....just	Frec:2.0	LogProb:-10.786497229841622
Palabra:MEXXX	Frec:1.0	LogProb:-11.191962337949786
Palabra:business.	Frec:2.0	LogProb:-10.786497229841622
Palabra:laugh	Frec:17.0	LogProb:-8.994737760613566
Palabra:tis	Frec:3.0	LogProb:-10.49881515738984
Palabra:rome	Frec:2.0	LogProb:-10.786497229841622
Palabra:corination	Frec:2.0	LogProb:-10.786497229841622
Palabra:ghey.	Frec:3.0	LogProb:-10.49881515738984
Palabra:sans	Frec:2.0	LogProb:-10.786497229841622
Palabra:Grrr	Frec:2.0	LogProb:-10.786497229841622
Palabra:off.	Frec:45.0	LogProb:-8.056468122020636
Palabra:ibuprofin	Frec:3.0	LogProb:-10.49881515738984
Palabra:C's	Frec:3.0	LogProb:-10.49881515738984
Palabra:gone	Frec:12.0	LogProb:-9.320160161048195
Palabra:off*	Frec:2.0	LogProb:-10.786497229841622
Palabra:NEED	Frec:10.0	LogProb:-9.48721424571136
Palabra:walked	Frec:2.0	LogProb:-10.786497229841622
Palabra:right...	Frec:5.0	LogProb:-10.093350049281677
Palabra:gorgeous	Frec:2.0	LogProb:-10.786497229841622
Palabra:oopsie...ugh	Frec:3.0	LogProb:-10.49881515738984
Palabra:Carpenter	Frec:3.0	LogProb:-10.49881515738984
Palabra:hat.	Frec:3.0	LogProb:-10.49881515738984
Palabra:forgotten...	Frec:2.0	LogProb:-10.786497229841622
Palabra:slurpee	Frec:2.0	LogProb:-10.786497229841622
Palabra:MSFB	Frec:3.0	LogProb:-10.49881515738984
Palabra:Ah.	Frec:3.0	LogProb:-10.49881515738984
Palabra:Gate	Frec:3.0	LogProb:-10.49881515738984
Palabra:L.A.	Frec:2.0	LogProb:-10.786497229841622
Palabra:cities.	Frec:2.0	LogProb:-10.786497229841622
Palabra:werewolves	Frec:3.0	LogProb:-10.49881515738984
Palabra:root	Frec:6.0	LogProb:-9.939199369454418
Palabra:hard	Frec:39.0	LogProb:-8.196230064395795
Palabra:fluffy	Frec:3.0	LogProb:-10.49881515738984
Palabra:BIG	Frec:6.0	LogProb:-9.939199369454418
Palabra:sucks:)	Frec:3.0	LogProb:-10.49881515738984
Palabra:C++	Frec:3.0	LogProb:-10.49881515738984
Palabra:you'recoming	Frec:2.0	LogProb:-10.786497229841622
Palabra:umbrella	Frec:3.0	LogProb:-10.49881515738984
Palabra:offa	Frec:3.0	LogProb:-10.49881515738984
Palabra:tweet	Frec:15.0	LogProb:-9.11252079626995
Palabra:least.	Frec:1.0	LogProb:-11.191962337949786
Palabra:room	Frec:5.0	LogProb:-10.093350049281677
Palabra:better	Frec:67.0	LogProb:-7.665601813333624
Palabra:fine..	Frec:3.0	LogProb:-10.49881515738984
Palabra:Blucas'	Frec:3.0	LogProb:-10.49881515738984
Palabra:cancer	Frec:2.0	LogProb:-10.786497229841622
Palabra:creepy	Frec:2.0	LogProb:-10.786497229841622
Palabra:LEPPARD	Frec:2.0	LogProb:-10.786497229841622
Palabra:taking	Frec:13.0	LogProb:-9.246052188894472
Palabra:sexed	Frec:3.0	LogProb:-10.49881515738984
Palabra:romance	Frec:2.0	LogProb:-10.786497229841622
Palabra:molotov	Frec:2.0	LogProb:-10.786497229841622
Palabra:SOMEONE	Frec:1.0	LogProb:-11.191962337949786
Palabra:immortal	Frec:3.0	LogProb:-10.49881515738984
Palabra:hats	Frec:3.0	LogProb:-10.49881515738984
Palabra:sate	Frec:2.0	LogProb:-10.786497229841622
Palabra:loveee	Frec:2.0	LogProb:-10.786497229841622
Palabra:gosh	Frec:1.0	LogProb:-11.191962337949786
Palabra:emacs-rails	Frec:2.0	LogProb:-10.786497229841622
Palabra:to.	Frec:11.0	LogProb:-9.400202868721731
Palabra:Pleez.	Frec:3.0	LogProb:-10.49881515738984
Palabra:camera.	Frec:3.0	LogProb:-10.49881515738984
Palabra:THINGS.	Frec:3.0	LogProb:-10.49881515738984
Palabra:struck	Frec:3.0	LogProb:-10.49881515738984
Palabra:hate	Frec:1012.0	LogProb:-4.964438014261048
Palabra:block	Frec:7.0	LogProb:-9.805667976829895
Palabra:cld	Frec:2.0	LogProb:-10.786497229841622
Palabra:order	Frec:6.0	LogProb:-9.939199369454418
Palabra:reminds	Frec:2.0	LogProb:-10.786497229841622
Palabra:Knocked	Frec:2.0	LogProb:-10.786497229841622
Palabra:protecting	Frec:2.0	LogProb:-10.786497229841622
Palabra:eagles.	Frec:2.0	LogProb:-10.786497229841622
Palabra:f**k	Frec:2.0	LogProb:-10.786497229841622
Palabra:srsy	Frec:3.0	LogProb:-10.49881515738984
Palabra:faggy	Frec:3.0	LogProb:-10.49881515738984
Palabra:awesome/bad	Frec:3.0	LogProb:-10.49881515738984
Palabra:anal	Frec:3.0	LogProb:-10.49881515738984
Palabra:SMS	Frec:2.0	LogProb:-10.786497229841622
Palabra:out...right	Frec:3.0	LogProb:-10.49881515738984
Palabra:coach	Frec:2.0	LogProb:-10.786497229841622
Palabra:sat.	Frec:2.0	LogProb:-10.786497229841622
Palabra:hash	Frec:3.0	LogProb:-10.49881515738984
Palabra:whore..	Frec:3.0	LogProb:-10.49881515738984
